iter	Passed	Remaining
0	133	133808
1	134	67186
2	135	44965
3	135	33848
4	136	27178
5	137	22731
6	137	19573
7	138	17216
8	139	15383
9	140	13899
10	141	12678
11	141	11660
12	142	10798
13	142	10060
14	143	9420
15	144	8866
16	145	8404
17	145	7961
18	146	7565
19	147	7207
20	147	6889
21	148	6595
22	148	6328
23	149	6081
24	150	5861
25	150	5656
26	151	5465
27	152	5286
28	152	5119
29	153	4964
30	154	4821
31	154	4684
32	155	4555
33	156	4451
34	157	4339
35	158	4231
36	158	4130
37	159	4035
38	160	3944
39	160	3857
40	161	3774
41	162	3697
42	162	3623
43	163	3551
44	164	3482
45	164	3418
46	165	3355
47	166	3294
48	166	3236
49	167	3189
50	168	3136
51	169	3085
52	169	3035
53	170	2986
54	171	2940
55	171	2899
56	172	2856
57	173	2815
58	174	2779
59	175	2743
60	175	2705
61	176	2670
62	177	2634
63	177	2598
64	178	2564
65	178	2531
66	179	2500
67	180	2471
68	181	2444
69	181	2414
70	182	2386
71	183	2359
72	183	2332
73	184	2307
74	184	2281
75	185	2258
76	186	2236
77	187	2212
78	187	2189
79	188	2168
80	189	2146
81	189	2125
82	190	2101
83	190	2080
84	191	2059
85	192	2041
86	192	2023
87	193	2006
88	194	1988
89	194	1970
90	195	1952
91	196	1935
92	196	1920
93	197	1904
94	198	1888
95	198	1873
96	199	1858
97	200	1843
98	200	1828
99	201	1813
100	202	1799
101	203	1787
102	203	1775
103	204	1762
104	205	1751
105	206	1738
106	206	1726
107	207	1713
108	208	1700
109	208	1688
110	209	1676
111	209	1663
112	210	1651
113	211	1640
114	211	1630
115	212	1619
116	212	1607
117	213	1597
118	214	1586
119	214	1576
120	215	1565
121	216	1554
122	216	1545
123	217	1539
124	218	1529
125	219	1520
126	219	1510
127	220	1501
128	221	1492
129	221	1483
130	222	1474
131	222	1465
132	223	1457
133	224	1449
134	224	1440
135	225	1432
136	225	1423
137	226	1415
138	227	1407
139	227	1399
140	228	1392
141	228	1383
142	229	1376
143	230	1369
144	231	1362
145	231	1355
146	232	1347
147	232	1340
148	233	1333
149	234	1327
150	234	1320
151	235	1314
152	236	1308
153	236	1301
154	237	1295
155	238	1288
156	238	1282
157	239	1275
158	240	1269
159	240	1263
160	241	1257
161	242	1251
162	242	1246
163	243	1239
164	243	1234
165	244	1228
166	245	1222
167	245	1217
168	246	1211
169	246	1205
170	247	1200
171	248	1195
172	249	1191
173	249	1186
174	250	1180
175	251	1175
176	251	1170
177	252	1165
178	252	1159
179	253	1154
180	254	1150
181	254	1146
182	255	1141
183	256	1136
184	256	1131
185	257	1127
186	258	1123
187	258	1118
188	259	1113
189	260	1109
190	260	1105
191	261	1101
192	262	1097
193	262	1092
194	263	1088
195	264	1083
196	264	1079
197	265	1074
198	265	1070
199	266	1066
200	267	1061
201	267	1058
202	268	1053
203	269	1050
204	270	1047
